,day,month,year,team1,goal1,goal2,team2
0,15,11,06,Italy,1,1,Turkey
1,20,11,02,Italy,1,1,Turkey
2,11,06,00,Turkey,1,2,Italy
3,27,03,63,Turkey,0,1,Italy
4,02,12,62,Italy,6,0,Turkey
5,03,06,21,Turkey,2,0,Moldova
6,31,05,21,Turkey,0,0,Guinea
7,27,05,21,Turkey,2,1,Azerbaijan
8,30,03,21,Turkey,3,3,Latvia
9,27,03,21,Norway,0,3,Turkey
10,24,03,21,Turkey,4,2,Netherlands
11,18,11,20,Hungary,2,0,Turkey
12,15,11,20,Turkey,3,2,Russia
13,11,11,20,Turkey,3,3,Croatia
14,14,10,20,Turkey,2,2,Serbia
15,11,10,20,Russia,1,1,Turkey
16,07,10,20,Germany,3,3,Turkey
17,06,09,20,Serbia,0,0,Turkey
18,03,09,20,Turkey,0,1,Hungary
19,17,11,19,Andorra,0,2,Turkey
20,14,11,19,Turkey,0,0,Iceland
21,14,10,19,France,1,1,Turkey
22,11,10,19,Turkey,1,0,Albania
23,10,09,19,Moldova,0,4,Turkey
24,07,09,19,Turkey,1,0,Andorra
25,11,06,19,Iceland,2,1,Turkey
26,08,06,19,Turkey,2,0,France
27,02,06,19,Turkey,2,0,Uzbekistan
28,30,05,19,Turkey,2,1,Greece
29,25,03,19,Turkey,4,0,Moldova
30,22,03,19,Albania,0,2,Turkey
31,20,11,18,Turkey,0,0,Ukraine
32,17,11,18,Turkey,0,1,Sweden
33,14,10,18,Russia,2,0,Turkey
34,11,10,18,Turkey,0,0,Bosnia & Herzegovina
35,04,06,21,Italy,4,0,Czech Republic
36,28,05,21,Italy,7,0,San Marino
37,31,03,21,Lithuania,0,2,Italy
38,28,03,21,Bulgaria,0,2,Italy
39,25,03,21,Italy,2,0,Northern Ireland
40,18,11,20,Bosnia & Herzegovina,0,2,Italy
41,15,11,20,Italy,2,0,Poland
42,11,11,20,Italy,4,0,Estonia
43,14,10,20,Italy,1,1,Netherlands
44,11,10,20,Poland,0,0,Italy
45,07,10,20,Italy,6,0,Moldova
46,07,09,20,Netherlands,0,1,Italy
47,04,09,20,Italy,1,1,Bosnia & Herzegovina
48,18,11,19,Italy,9,1,Armenia
49,15,11,19,Bosnia & Herzegovina,0,3,Italy
50,15,10,19,Liechtenstein,0,5,Italy
51,12,10,19,Italy,2,0,Greece
52,08,09,19,Finland,1,2,Italy
