,day,month,year,hour,minute,team1,team2
0,11,06,21,21,00,Türkei,Italien
1,12,06,21,15,00,Wales,Schweiz
2,12,06,21,18,00,Dänemark,Finnland
3,12,06,21,21,00,Belgien,Russland
4,13,06,21,15,00,England,Kroatien
5,13,06,21,18,00,Österreich,Mazedonien
6,13,06,21,21,00,Niederlande,Ukraine
7,14,06,21,15,00,Schottland,Tschechien
8,14,06,21,18,00,Polen,Slowakei
9,14,06,21,21,00,Spanien,Schweden
10,15,06,21,18,00,Ungarn,Portugal
11,15,06,21,21,00,Frankreich,Deutschland
12,16,06,21,15,00,Finnland,Russland
13,16,06,21,18,00,Türkei,Wales
14,16,06,21,21,00,Italien,Schweiz
15,17,06,21,15,00,Ukraine,Mazedonien
16,17,06,21,18,00,Dänemark,Belgien
17,17,06,21,21,00,Niederlande,Österreich
18,18,06,21,15,00,Schweden,Slowakei
19,18,06,21,18,00,Kroatien,Tschechien
20,18,06,21,21,00,England,Schottland
21,19,06,21,15,00,Ungarn,Frankreich
22,19,06,21,18,00,Portugal,Deutschland
23,19,06,21,21,00,Spanien,Polen
24,20,06,21,18,00,Italien,Wales
25,20,06,21,18,00,Schweiz,Türkei
26,21,06,21,18,00,Mazedonien,Niederlande
27,21,06,21,18,00,Ukraine,Österreich
28,21,06,21,21,00,Russland,Dänemark
29,21,06,21,21,00,Finnland,Belgien
30,22,06,21,21,00,Tschechien,England
31,22,06,21,21,00,Kroatien,Schottland
32,23,06,21,18,00,Slowakei,Spanien
33,23,06,21,18,00,Schweden,Polen
34,23,06,21,21,00,Deutschland,Ungarn
35,23,06,21,21,00,Portugal,Frankreich
