,day,month,year,hour,minute,team_1,team_2,g1,g2
0,21,3,2020,16,0,Kasachstan,Schottland,3,0
1,21,3,2020,18,0,Zypern,San Marino,5,0
2,21,3,2020,20,45,Niederlande,Weissrussland,4,0
3,21,3,2020,20,45,Nordirland,Estland,2,0
4,21,3,2020,20,45,Kroatien,Aserbaidschan,2,1
5,21,3,2020,20,45,Slowakei,Ungarn,2,0
6,21,3,2020,20,45,Österreich,Polen,0,1
7,21,3,2020,20,45,Mazedonien,Letland,3,1
8,21,3,2020,20,45,Israel,Slowenien,1,1
9,21,3,2020,20,45,Belgien,Russland,3,1
10,22,3,2020,18,0,Bulgarien,Montenegro,1,1
11,22,3,2020,20,45,England,Tschechien,5,0
12,22,3,2020,20,45,Luxemburg,Litauen,2,1
13,22,3,2020,20,45,Portugal,Ukraine,0,0
14,22,3,2020,20,45,Albanien,Türkei,0,2
15,22,3,2020,20,45,Andorra,Island,0,2
16,22,3,2020,20,45,Moldau,Frankreich,1,4
17,23,3,2020,15,0,Georgia,Schweiz,0,2
18,23,3,2020,18,0,Gibraltar,Irland,0,1
19,23,3,2020,18,0,Malta,Färöer Inseln,2,1
20,23,3,2020,18,0,Schweden,Rumänien,2,1
21,23,3,2020,20,45,Spanien,Norwegen,2,1
22,23,3,2020,20,45,Bosnien Herz.,Armenien,2,1
23,23,3,2020,20,45,Italien,Finnland,2,0
24,23,3,2020,20,45,Liechtenstein,Griechenland,0,2
25,24,3,2020,15,0,Wales,Slowakei,1,0
26,24,3,2020,15,0,Kasachstan,Russland,0,4
27,24,3,2020,18,0,Ungarn,Kroatien,2,1
28,24,3,2020,18,0,Israel,Österreich,4,2
29,24,3,2020,18,0,San Marino,Schottland,0,2
30,24,3,2020,20,45,Niederlande,Deutschland,2,3
31,24,3,2020,20,45,Nordirland,Weissrussland,2,1
32,24,3,2020,20,45,Polen,Letland,2,0
33,24,3,2020,20,45,Slowenien,Mazedonien,1,1
34,24,3,2020,20,45,Zypern,Belgien,0,2
35,25,3,2020,18,0,Türkei,Moldau,4,0
36,25,3,2020,20,45,Kosovo,Bulgarien,1,1
37,25,3,2020,20,45,Montenegro,England,1,5
38,25,3,2020,20,45,Luxemburg,Ukraine,1,2
39,25,3,2020,20,45,Portugal,Serbien,1,1
40,25,3,2020,20,45,Andorra,Albanien,0,3
41,25,3,2020,20,45,Frankreich,Island,4,0
42,26,3,2020,18,0,Armenien,Finnland,0,2
43,26,3,2020,20,45,Irland,Georgia,1,0
44,26,3,2020,20,45,Schweiz,Dänemark,3,3
45,26,3,2020,20,45,Malta,Spanien,0,2
46,26,3,2020,20,45,Norwegen,Schweden,3,3
47,26,3,2020,20,45,Rumänien,Färöer Inseln,4,1
48,26,3,2020,20,45,Bosnien Herz.,Griechenland,2,2
49,26,3,2020,20,45,Italien,Liechtenstein,6,0
50,7,6,2020,18,0,Georgia,Gibraltar,3,0
51,7,6,2020,20,45,Tschechien,Bulgarien,2,1
52,7,6,2020,20,45,Montenegro,Kosovo,1,1
53,7,6,2020,20,45,Litauen,Luxemburg,1,1
54,7,6,2020,20,45,Ukraine,Serbien,5,0
